Geography,Year,Total_Est,Total_EstErr,HispanicLatino_Est,HispanicLatino_EstErr,HispanicLatino_Pct,HispanicLatino_PctErr,WhiteAlone_Est,WhiteAlone_EstErr,WhiteAlone_Pct,WhiteAlone_PctErr,BlackAlone_Est,BlackAlone_EstErr,BlackAlone_Pct,BlackAlone_PctErr,IndianAlaskaAlone_Est,IndianAlaskaAlone_EstErr,IndianAlaskaAlone_Pct,IndianAlaskaAlone_PctErr,AsianAlone_Est,AsianAlone_EstErr,AsianAlone_Pct,AsianAlone_PctErr,HawaiianPacificAlone_Est,HawaiianPacific_EstErr,HawaiianPacific_Pct,HawaiianPacific_PctErr,MedianHouseholdIncome_Est,MedianHouseholdIncome_EstErr,MeanHouseholdIncome_Est,MeanHouseholdIncome_EstErr,MedianFamilyIncome_Est,MedianFamilyIncome_EstErr,MeanFamilyIncome_Est,MeanFamilyIncome_EstErr,PercapitaIncome_Est,PercapitaIncome_EstErr,PovertyRate_Est,PovertyRate_EstErr,,
San Diego County,"2,014 ","3,263,431 ",*****,"1,083,028 ",*****,33 ,*****,"1,520,451 ",825 ,47 ,0 ,"151,480 ","5,088 ",5 ,0 ,"10,894 ","1,624 ",0 ,0 ,"371,659 ","5,604 ",11 ,0 ,"13,223 ","2,129 ",0 ,0 ,"66,192 ","1,085 ","89,137 ","1,431 ","76,876 ","1,259 ","99,383 ","1,668 ","31,770 ",500 ,15 ,1 ,,
Carlsbad city,"2,014 ","112,310 ",52 ,"18,178 ","4,300 ",16 ,4 ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"104,424 ","6,928 ","126,692 ","8,984 ","121,560 ","10,351 ","145,920 ","10,622 ","49,589 ","3,568 ",5 ,1 ,,
Chula Vista city,"2,014 ","260,977 ",51 ,"149,617 ","8,871 ",57 ,3 ,"53,128 ","5,215 ",20 ,2 ,"10,150 ","3,203 ",4 ,1 ,174 ,160 ,0 ,0 ,"38,822 ","6,566 ",15 ,3 ,"1,242 ",811 ,1 ,0 ,"67,911 ","5,677 ","80,644 ","4,067 ","76,338 ","6,017 ","89,498 ","4,973 ","25,336 ","1,079 ",13 ,2 ,,
El Cajon city,"2,014 ","103,075 ",66 ,"32,509 ","4,557 ",32 ,4 ,"52,234 ","4,693 ",51 ,5 ,"7,175 ","2,280 ",7 ,2 ,269 ,261 ,0 ,0 ,"4,309 ","2,329 ",4 ,2 ,"1,638 ","2,069 ",2 ,2 ,"46,556 ","5,780 ","63,069 ","5,391 ","46,826 ","7,576 ","64,838 ","6,614 ","20,827 ","1,835 ",23 ,4 ,,
Escondido city,"2,014 ","150,252 ",47 ,"78,459 ","6,216 ",52 ,4 ,"53,574 ","5,201 ",36 ,4 ,"3,983 ","1,735 ",3 ,1 ,44 ,73 ,0 ,0 ,"9,279 ","2,728 ",6 ,2 ,152 ,242 ,0 ,0 ,"52,585 ","4,277 ","69,212 ","4,444 ","56,999 ","4,691 ","74,639 ","4,408 ","22,246 ","1,391 ",22 ,3 ,,
Oceanside city,"2,014 ","174,552 ",43 ,"52,232 ","5,418 ",30 ,3 ,"95,675 ","6,169 ",55 ,4 ,"8,151 ","2,618 ",5 ,2 ,831 ,629 ,1 ,0 ,"10,165 ","2,186 ",6 ,1 ,"1,575 ","1,486 ",1 ,1 ,"57,186 ","2,592 ","77,156 ","4,842 ","68,642 ","8,385 ","88,103 ","6,420 ","28,490 ","1,736 ",15 ,2 ,,
San Diego city,"2,014 ","1,381,083 ",79 ,"418,435 ","12,704 ",30 ,1 ,"594,815 ","13,185 ",43 ,1 ,"84,036 ","6,938 ",6 ,1 ,"3,541 ","1,246 ",0 ,0 ,"225,391 ","9,429 ",16 ,1 ,"4,149 ","1,121 ",0 ,0 ,"67,799 ","2,104 ","92,389 ","2,469 ","79,751 ","2,676 ","104,769 ","3,244 ","34,727 ",842 ,16 ,1 ,,
San Marcos city,"2,014 ","92,910 ",67 ,"33,496 ","4,938 ",36 ,5 ,"41,431 ","5,077 ",45 ,6 ,"2,425 ",996 ,3 ,1 ,148 ,172 ,0 ,0 ,"9,598 ","2,677 ",10 ,3 ,"1,004 ",882 ,1 ,1 ,"66,244 ","9,401 ","84,065 ","8,227 ","76,402 ","10,142 ","88,250 ","8,679 ","26,895 ","3,181 ",17 ,4 ,,
Vista city,"2,014 ","98,086 ",44 ,"46,699 ","4,955 ",48 ,5 ,"42,038 ","4,531 ",43 ,5 ,"1,549 ",794 ,2 ,1 ,224 ,233 ,0 ,0 ,"4,738 ","1,665 ",5 ,2 ,162 ,207 ,0 ,0 ,"52,486 ","3,242 ","64,283 ","4,665 ","55,850 ","4,538 ","69,601 ","5,234 ","20,682 ","1,530 ",19 ,4 ,,
San Diego County,"2,015 ","3,299,521 ",*****,"1,102,256 ",*****,33 ,*****,"1,518,174 ","5,023 ",46 ,0 ,"160,385 ","2,619 ",5 ,0 ,"10,330 ","1,848 ",0 ,0 ,"379,566 ","6,331 ",12 ,0 ,"13,579 ","1,779 ",0 ,0 ,"67,320 ","1,448 ","90,125 ","1,291 ","77,653 ","1,385 ","100,723 ","1,499 ","32,227 ",438 ,14 ,1 ,,
